topic_id,post_count,top_terms,top_scores
noise_1,18,android|devices|tech|durable|audio|boring|old|hardware|game|intrusive|feel fully|hurts,0.065221|0.052143|0.046473|0.037055|0.037055|0.032823|0.032493|0.031143|0.023236|0.021740|0.021740|0.021740
noise_10,11,hallucination|flash|hallucination rate|judgment|incorrect|91|checking|door|opened|gemini|rate|answer,0.109004|0.026237|0.026237|0.022360|0.019806|0.019678|0.018354|0.018354|0.018040|0.017898|0.017898|0.016996
noise_11,11,bubble|think|novelty|going|know|presence|shortage|understanding|search|thing|companies|art,0.026766|0.023403|0.023356|0.023265|0.017020|0.016729|0.014929|0.014577|0.014577|0.014062|0.012948|0.012547
noise_12,12,tech|president|government|chief|chip|big tech|china|revolution|launches|investments|lifting|tech getting,0.150361|0.147398|0.109680|0.068510|0.060685|0.054840|0.048150|0.040195|0.040195|0.040195|0.040195|0.040195
noise_13,37,bots|human|person|pull|humans|grok|grammar|authorship|face|think|interaction|users,0.013663|0.012999|0.012019|0.010592|0.010476|0.010015|0.009322|0.009322|0.009112|0.009057|0.008479|0.008302
noise_14,30,code|software|coding|agents|work|think|engineers|job|jobs|programmer|replacement|companies,0.019941|0.015917|0.014963|0.013614|0.012430|0.012089|0.010807|0.010614|0.009198|0.009013|0.009013|0.008856
noise_15,16,copyright|music|song|sora|make|video|songs|ask|style|listing|content|images,0.054580|0.036624|0.030322|0.024258|0.017437|0.015714|0.015161|0.013448|0.013248|0.012129|0.011767|0.011445
noise_2,40,reaction|lab|instruments|elements|turn|table|books|technician|strike|synthesis|radioactive|periodic table,0.026201|0.025031|0.024549|0.024549|0.023005|0.020633|0.019651|0.019204|0.019204|0.019204|0.019204|0.019204
noise_3,9,methanol|water|carbon|production|scale|plant|water cycle|drank|babies|environment|emissions|mixture,0.092180|0.080098|0.052372|0.040049|0.035385|0.031442|0.030727|0.030727|0.030727|0.030037|0.026186|0.026186
noise_4,27,study|depression|cognitive|psychological|social|stress|women|violence|anxiety|videos|percent|sexual,0.025615|0.023620|0.019254|0.018896|0.018285|0.017842|0.016929|0.016252|0.016124|0.015404|0.015107|0.015107
noise_5,24,weight|foods|eat|food|rice|fentanyl|grains|lifestyle|patients|nutrients|medicine|diets,0.032617|0.026567|0.021876|0.019837|0.016559|0.016559|0.016559|0.014112|0.013239|0.012419|0.011861|0.011386
noise_6,63,biology|animals|dna|humans|evolution|eyes|species|selection|pressure|sciences|chemical|biological,0.053955|0.027440|0.020772|0.015841|0.015579|0.014752|0.013067|0.012695|0.011808|0.011108|0.011071|0.011071
noise_7,12,2026|candidates|proved|bell|papers|2025|labs|conjecture|year|fields|fields medal|acceptance rate,0.052898|0.040217|0.032448|0.032448|0.030754|0.030423|0.030163|0.030163|0.025047|0.024145|0.023595|0.023595
noise_8,14,tiktok|warner|warner bros|bros|billion|deal|sale|launch|nvidia|investor|groq|limbo,0.145452|0.109160|0.109160|0.093029|0.087176|0.080686|0.066717|0.062019|0.049645|0.036387|0.036387|0.036387
noise_9,8,games|rockstar|gta|union|founder|killed|says|xbox|ministers|minister|firing|halo,0.069896|0.061727|0.061727|0.056590|0.056590|0.046597|0.044598|0.030864|0.030864|0.030864|0.030864|0.030864
topic_1,381,cities|city|countries|chicago|country|south|world|border|islands|population|la|area,0.044559|0.043038|0.029560|0.024139|0.023212|0.014178|0.013442|0.012828|0.012828|0.012089|0.011760|0.011514
topic_10,27,disease|cancer|intake|fat|risk|study|mice|alcohol|cardiovascular|new study|cell|heart,0.048874|0.045494|0.044460|0.044460|0.043132|0.034799|0.030570|0.023883|0.022230|0.022215|0.020380|0.018956
topic_11,23,architecture|real|thinking|questions|math|understand|work|language|different|structure|text|data,0.019838|0.010845|0.010460|0.010200|0.010086|0.009473|0.009194|0.009146|0.008558|0.008339|0.008339|0.008274
topic_12,43,tesla|sales|electric|driving|car|truck|self driving|miles|vehicles|twin|waymo|cars,0.189534|0.049646|0.049646|0.045252|0.041173|0.038458|0.036102|0.033097|0.033097|0.027076|0.027076|0.021647
topic_13,39,data centers|centers|data|heat|water|data center|space|earth|center|solar|usage|nuclear,0.105082|0.093080|0.077822|0.051772|0.041564|0.038266|0.038200|0.025677|0.024938|0.019490|0.018272|0.018118
topic_14,168,images|videos|grok|generated|children|minors|image|media|ban|social media|instagram|safety,0.019775|0.013968|0.013646|0.012634|0.012185|0.011907|0.011640|0.011640|0.011424|0.010787|0.009526|0.009272
topic_15,61,gemini|therapy|real|cognitive|time|chat|using|structured|text|documented|way|claude,0.020753|0.010498|0.009117|0.009063|0.008737|0.008716|0.008358|0.007644|0.007595|0.007407|0.007140|0.007115
topic_16,22,ram|chip|pc|price|memory|warns|2026|happened|week|revolutionary|micron|entire internet,0.088380|0.083169|0.058683|0.051981|0.042977|0.041316|0.041167|0.037580|0.031720|0.027544|0.027544|0.027544
topic_17,26,thinking|faster|feel|think|feels|cognitive|instead|work|thinking partner|making|answers|awareness,0.032669|0.018236|0.018049|0.017067|0.014001|0.013736|0.013286|0.012408|0.011710|0.011280|0.011264|0.010735
topic_18,109,recipient|human|information|entropy|intelligence|jobs|bubble|humans|work|agi|companies|time,0.011707|0.011259|0.010966|0.010899|0.010582|0.010227|0.009622|0.009527|0.007972|0.007913|0.007609|0.007023
topic_19,16,invest|amazon|billion|sam altman|altman|sam|company|talks|altman says|burn|bubble|ecosystem,0.058335|0.054725|0.051249|0.047065|0.047065|0.043751|0.035302|0.035022|0.034225|0.031377|0.031377|0.029167
topic_2,259,job|work|cs|tech|team|time|company|years|working|career|degree|know,0.025544|0.017287|0.016381|0.013336|0.011874|0.010482|0.009771|0.009766|0.009222|0.008949|0.008196|0.007970
topic_3,239,math|physics|algebra|mathematics|calculus|quantum|analysis|maths|mathematical|chemistry|theory|know,0.038307|0.023813|0.017352|0.015896|0.013989|0.013325|0.012486|0.011568|0.011521|0.010609|0.009832|0.009695
topic_4,11,firefox|browser|switch|kill|ceo|anthony|pushback|web|able make|officially|admitted|evolve,0.176622|0.141205|0.072289|0.065774|0.051638|0.050463|0.050463|0.045338|0.043006|0.043006|0.040344|0.040344
topic_5,13,really going|mean really|explain hell|fried|behaviour|explain|phenomenon|naive|does make|clarification|confused|does,0.104750|0.104750|0.104750|0.104750|0.104750|0.104372|0.096032|0.096032|0.096032|0.083745|0.079074|0.078621
topic_6,71,patient|patients|hospital|dr|care|medical|insurance|hospitals|heart|cancer|blood|procedure,0.036393|0.028654|0.015380|0.014566|0.011419|0.010436|0.010378|0.009088|0.008844|0.008844|0.008739|0.008388
topic_7,45,water|bleach|chemicals|balls|smell|energy|heat|ice|cooking|glass|plastic|methanol,0.074578|0.031568|0.028393|0.023676|0.023676|0.020351|0.019785|0.019730|0.019730|0.018088|0.018088|0.015784
topic_8,21,men|women|mother|suggests|likely|relationships|stress|stronger|fathers|attractiveness|father|perceived,0.086060|0.083458|0.028486|0.026837|0.025340|0.023456|0.023456|0.023456|0.023304|0.023304|0.021364|0.019860
topic_9,29,pain|sleep|adhd|symptoms|drug|chronic|review|disorder|activity|patients|brain|effects,0.039437|0.029674|0.027302|0.025779|0.022915|0.016169|0.015531|0.015178|0.015168|0.015168|0.014194|0.013589
